GenotypeModel,AttributionModel,Source,UR2006_num,m,lci,uci,ucl,lcl
Dirichlet,Categorical,Other,-3,2.5141002067419205e-4,1.324117829889929e-6,0.021315311370262283,0.0012371130439093696,4.4881418549715766e-5
Dirichlet,Categorical,Other,-2,6.421855282069634e-5,1.9442871596103995e-8,0.022030715303348575,7.263122763722518e-4,4.471607036807363e-6
Dirichlet,Categorical,Other,-1,6.312586564536324e-5,1.4930398410771103e-8,0.018624267393309267,7.234288234914527e-4,4.414546149597501e-6
Dirichlet,Categorical,Other,0,7.824746223482078e-5,2.222321179685846e-8,0.022255548846108777,8.849074286880264e-4,5.081917087988973e-6
Dirichlet,Categorical,Other,1,5.2128187332473853e-05,1.653341104080832e-8,0.019957570135518316,6.370604016686911e-4,3.6083987833520015e-6
Dirichlet,Categorical,Other,2,3.770542527642541e-5,1.0666240507576971e-8,0.009663007759658377,4.311641462175726e-4,2.6150198091017677e-6
Dirichlet,Categorical,Other,3,2.9551230520815383e-5,8.332584886534341e-9,0.009124741747374408,3.279074473393041e-4,1.9716462512633765e-6
Dirichlet,Categorical,Poultry,-3,0.18849278107401463,0.01663487235996462,0.5869264308290251,0.30594907817541683,0.09748073715313771
Dirichlet,Categorical,Poultry,-2,0.3568661765070158,0.22113964267354497,0.5006557043429583,0.40734835700415917,0.3083789159260546
Dirichlet,Categorical,Poultry,-1,0.4850727772449035,0.3421890724358252,0.6266414880424778,0.5323436745624761,0.43792468837786336
Dirichlet,Categorical,Poultry,0,0.5268500874654888,0.36239696553883655,0.6803183024563212,0.5815503513597016,0.46950726739004733
Dirichlet,Categorical,Poultry,1,0.4788913510778855,0.3718418755622768,0.5882401806888148,0.5163821797334466,0.441011133786964
Dirichlet,Categorical,Poultry,2,0.48926578105118,0.37952014594019434,0.6019174361732766,0.5270054091838419,0.45039428989471403
Dirichlet,Categorical,Poultry,3,0.6433254490657876,0.5641530764088318,0.7231017701055201,0.6709604358581216,0.615730328192323
Dirichlet,Categorical,Ruminants,-3,0.7976181588410722,0.40045985853878757,0.9808007737239508,0.893184119507332,0.6758029377973858
Dirichlet,Categorical,Ruminants,-2,0.6351848499831024,0.4923802964935176,0.7708776365925339,0.6844990839843472,0.5863018324934693
Dirichlet,Categorical,Ruminants,-1,0.507252455845721,0.3669326433712814,0.6496874666008357,0.5541631979022394,0.45932015127295106
Dirichlet,Categorical,Ruminants,0,0.46370375162890987,0.3072403234830169,0.6283493368623333,0.5207687057110494,0.40861178862097985
Dirichlet,Categorical,Ruminants,1,0.5153680418060267,0.4073296633168145,0.622008203200499,0.5532867800965067,0.4780870077699053
Dirichlet,Categorical,Ruminants,2,0.5063117898496734,0.3941067571075416,0.6164172318840557,0.5448040875308546,0.46867060877744526
Dirichlet,Categorical,Ruminants,3,0.35341528450864107,0.2738601980043298,0.4324802338561841,0.3808163987824616,0.32612979197105446
Dirichlet,Categorical,Water,-3,0.00478409843649159,2.364681000928802e-4,0.050627364596853824,0.012252095755915082,0.001921732992221576
Dirichlet,Categorical,Water,-2,0.001963095135786836,2.5656381961360672e-5,0.029907312058769033,0.006056228522339839,5.13278481631339e-4
Dirichlet,Categorical,Water,-1,0.0020928170343104107,2.289685873430171e-5,0.03325497277789186,0.00646919663680791,5.408388497294238e-4
Dirichlet,Categorical,Water,0,0.002356868599276394,2.6668913656336368e-5,0.0447997937739896,0.007853793492427992,6.016653119406454e-4
Dirichlet,Categorical,Water,1,0.001510552448026658,2.6209134416071633e-5,0.02063738955990429,0.004351253360547105,4.3897403892214173e-4
Dirichlet,Categorical,Water,2,0.001288368522248882,1.536080738559532e-5,0.019232645115633523,0.003946889347454014,3.556654804041674e-4
Dirichlet,Categorical,Water,3,9.1273693343026e-4,1.0252554121953808e-5,0.013381216686480566,0.002729030462045419,2.5292210292910875e-4
Dirichlet,Linear,Other,-3,7.826126839218163e-4,1.848015609568254e-8,0.11156151942920865,0.00861094809173666,3.60372761216568e-5
Dirichlet,Linear,Other,-2,4.6914152181386584e-4,1.0343121382634319e-7,0.02649041431577361,0.002931790394826016,4.07176780386142e-5
Dirichlet,Linear,Other,-1,2.479960989823979e-4,4.5578192125769585e-7,0.011045148683725947,0.001164243930202049,3.852889452565193e-5
Dirichlet,Linear,Other,0,1.4535686333288193e-4,6.626693793741969e-7,0.006886615536714498,6.459409684576436e-4,2.6962767152710562e-5
Dirichlet,Linear,Other,1,1.0656501588573616e-4,1.9835480721721167e-7,0.005876767436830028,5.188070206971331e-4,1.7338387660955822e-5
Dirichlet,Linear,Other,2,9.39730858148333e-5,1.851565066068151e-8,0.0067743063503298675,6.093988662539344e-4,7.804867492905918e-6
Dirichlet,Linear,Other,3,7.150737004605197e-5,1.70276183412314e-9,0.013590434908318695,7.980544289544805e-4,2.8913271753139e-6
Dirichlet,Linear,Poultry,-3,0.3169942958472617,0.2121841398855692,0.43669860175770964,0.3563768915355022,0.279386264138786
Dirichlet,Linear,Poultry,-2,0.36792026254685206,0.27292725958844993,0.4702210201624996,0.4017007961403606,0.3339784725921618
Dirichlet,Linear,Poultry,-1,0.41716009084783007,0.33486598485046437,0.5033799298968877,0.445861872881661,0.38864742095528004
Dirichlet,Linear,Poultry,0,0.4668019890410332,0.39845957810113225,0.5377551605319032,0.4911167688032113,0.4434406136548932
Dirichlet,Linear,Poultry,1,0.5168538713030981,0.45774475197873793,0.5795589046220467,0.5384031839863818,0.4960127753863185
Dirichlet,Linear,Poultry,2,0.5666002913379666,0.5077761590453074,0.6311694425446236,0.5881650178193505,0.5456317438725169
