Source,Model,m,lci,uci,ucl,lcl
Other,Dirichlet,3.367188064364968e-4,1.889785188606828e-6,0.010432876809965198,0.0012621300355388026,6.860389277891574e-5
Other,Island,0.021965601480873502,4.093141542968896e-4,0.04799327701540176,0.03165914985432981,0.01133125464160777
Poultry,Dirichlet,0.5309358473373431,0.47596773133770165,0.5930697517840774,0.5515477015202843,0.5110078221419927
Poultry,Island,0.48812002703363994,0.44639290568145357,0.5304025145447676,0.502659114016948,0.47358651877553465
Ruminants,Dirichlet,0.4634235565743585,0.4017948327242858,0.5186413301106562,0.48363357387350697,0.4431981714451364
Ruminants,Island,0.47353198070487085,0.4329679712963615,0.5139742923604556,0.4875437629564297,0.45980644579737473
Water,Dirichlet,0.00298925508017022,2.808007815478931e-4,0.01414276672980286,0.005166359873373056,0.001614595418309979
Water,Island,0.015138092515078177,0.0017942413624610805,0.037060617422713,0.022981526565137765,0.00869945033666393
