"DamID","LambID","Datebirth","Rank","Sex","BirthWeight","Feed","Shorn"
"154/94",90,"17/8","Single","Male",5.3,"MH","Yes"
"53/95",91,"17/8","Single","Male",6.45,"MH","Yes"
"73/93",95,"18/8","Single","Female",5.5,"MH","Yes"
"132/94",104,"18/8","Single","Male",7.05,"MH","Yes"
"217/93",108,"19/8","Single","Female",5.75,"MH","Yes"
"76/95",228,"20/8","Single","Female",7.5,"MH","Yes"
"177/94",4,"12/8","Twin","Female",3.75,"MH","Yes"
"177/94",5,"12/8","Twin","Female",3.65,"MH","Yes"
"15/95",9,"13/8","Twin","Female",4.05,"MH","Yes"
"15/95",10,"13/8","Twin","Female",4.03,"MH","Yes"
"306/95",20,"15/8","Twin","Male",3,"MH","Yes"
"599/93",26,"15/8","Twin","Female",4.6,"MH","Yes"
"599/93",27,"15/8","Twin","Female",5.5,"MH","Yes"
"306/95",30,"15/8","Twin","Male",1.5,"MH","Yes"
"111/95",36,"15/8","Twin","Female",4.6,"MH","Yes"
"111/95",37,"15/8","Twin","Female",4.1,"MH","Yes"
"563/95",69,"16/8","Twin","Male",5.1,"MH","Yes"
"563/95",71,"16/8","Twin","Male",5.1,"MH","Yes"
"28/94",77,"17/8","Twin","Female",5.3,"MH","Yes"
"28/94",78,"17/8","Twin","Female",4.25,"MH","Yes"
"353/95",81,"17/8","Twin","Male",5.3,"MH","Yes"
"353/95",82,"17/8","Twin","Male",5.25,"MH","Yes"
"513/93",105,"19/8","Twin","Male",5.5,"MH","Yes"
"513/93",106,"19/8","Twin","Female",4.5,"MH","Yes"
"531/93",8,"13/8","Single","Male",6.05,"MH","No"
"169/94",11,"13/8","Single","Male",5.1,"MH","No"
"315/94",12,"14/8","Single","Male",6.7,"MH","No"
"66/94",19,"14/8","Single","Male",5.2,"MH","No"
"39/93",28,"15/8","Single","Female",4.5,"MH","No"
"513/95",49,"15/8","Single","Male",6.4,"MH","No"
"52/93",60,"16/8","Single","Female",5.5,"MH","No"
"42/95",73,"17/8","Single","Female",4.75,"MH","No"
"336/95",112,"20/8","Single","Male",5.25,"MH","No"
"34/94",17,"14/8","Twin","Female",5.2,"MH","No"
"34/94",18,"14/8","Twin","Male",5.6,"MH","No"
"156/94",21,"15/8","Twin","Male",5.8,"MH","No"
"156/94",22,"15/8","Twin","Male",2.75,"MH","No"
"177/95",24,"15/8","Twin","Male",5.05,"MH","No"
"177/95",25,"15/8","Twin","Male",5,"MH","No"
"150/95",31,"15/8","Twin","Male",5.5,"MH","No"
"150/95",32,"15/8","Twin","Male",4.75,"MH","No"
"24/93",45,"15/8","Twin","Male",4.3,"MH","No"
"24/93",46,"15/8","Twin","Male",4.8,"MH","No"
"497/93",47,"15/8","Twin","Female",4.7,"MH","No"
"497/93",48,"15/8","Twin","Male",4.3,"MH","No"
"297/95",75,"17/8","Twin","Female",4.85,"MH","No"
"297/95",76,"17/8","Twin","Male",6.2,"MH","No"
"331/94",113,"20/8","Twin","Male",4.35,"MH","No"
"331/94",114,"20/8","Twin","Male",2.85,"MH","No"
"156/95",138,"14/8","Single","Male",5.25,"MM","Yes"
"100/93",191,"17/8","Single","Male",6.55,"MM","Yes"
"385/95",205,"17/8","Single","Female",7.05,"MM","Yes"
"415/95",223,"19/8","Single","Female",5.5,"MM","Yes"
"388/94",230,"20/8","Single","Male",7.25,"MM","Yes"
"559/93",234,"20/8","Single","Female",6.6,"MM","Yes"
"14/93",136,"14/8","Twin","Male",4.25,"MM","Yes"
"14/93",137,"14/8","Twin","Male",4,"MM","Yes"
"26/95",154,"16/8","Twin","Male",4.55,"MM","Yes"
"26/95",155,"16/8","Twin","Female",5.3,"MM","Yes"
"17/95",174,"16/8","Twin","Male",4.5,"MM","Yes"
"17/95",175,"16/8","Twin","Female",4.3,"MM","Yes"
"396/94",176,"16/8","Twin","Male",2.5,"MM","Yes"
"396/94",177,"16/8","Twin","Male",6.5,"MM","Yes"
"210/94",178,"16/8","Twin","Female",5.65,"MM","Yes"
"210/94",179,"16/8","Twin","Female",5.3,"MM","Yes"
"142/94",189,"17/8","Twin","Male",4.5,"MM","Yes"
"142/94",190,"17/8","Twin","Male",5.1,"MM","Yes"
"202/94",194,"17/8","Twin","Male",4.8,"MM","Yes"
"202/94",195,"17/8","Twin","Male",4.85,"MM","Yes"
"550/93",221,"19/8","Twin","Male",5.1,"MM","Yes"
"550/93",222,"19/8","Twin","Male",4.75,"MM","Yes"
"359/94",232,"20/8","Twin","Male",6.1,"MM","Yes"
