identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
6097,"[5, Inf)",2,0.48574646864296367,Ruminants,Island,Linear
6596,"[5, Inf)",2,0.4359845491330708,Ruminants,Island,Linear
6982,"[5, Inf)",2,0.43305589171351633,Ruminants,Island,Linear
7149,"[5, Inf)",2,0.4565271059464176,Ruminants,Island,Linear
7724,"[5, Inf)",2,0.4497373564174119,Ruminants,Island,Linear
8520,"[5, Inf)",2,0.4286923013745313,Ruminants,Island,Linear
9054,"[5, Inf)",2,0.4561317374899638,Ruminants,Island,Linear
9635,"[5, Inf)",2,0.42115785554298363,Ruminants,Island,Linear
9903,"[5, Inf)",2,0.4252266104813361,Ruminants,Island,Linear
9996,"[5, Inf)",2,0.4311030634394191,Ruminants,Island,Linear
358,0-5,0,0.5927768540049306,Ruminants,Island,Linear
1642,0-5,0,0.41620313248577323,Ruminants,Island,Linear
1685,0-5,0,0.5493536215997145,Ruminants,Island,Linear
2495,0-5,0,0.417206110419324,Ruminants,Island,Linear
2765,0-5,0,0.5645229395355078,Ruminants,Island,Linear
3958,0-5,0,0.486239374124957,Ruminants,Island,Linear
4322,0-5,0,0.5570801824257705,Ruminants,Island,Linear
4764,0-5,0,0.595652208713125,Ruminants,Island,Linear
4832,0-5,0,0.64809619628117,Ruminants,Island,Linear
5903,0-5,0,0.49252599020785676,Ruminants,Island,Linear
6097,0-5,0,0.489132699836806,Ruminants,Island,Linear
6596,0-5,0,0.6290203178091885,Ruminants,Island,Linear
6982,0-5,0,0.6386222707673794,Ruminants,Island,Linear
7149,0-5,0,0.678682368168281,Ruminants,Island,Linear
7724,0-5,0,0.6781491955624552,Ruminants,Island,Linear
8520,0-5,0,0.67417451071341,Ruminants,Island,Linear
9054,0-5,0,0.6416343698679939,Ruminants,Island,Linear
9635,0-5,0,0.5627144242484577,Ruminants,Island,Linear
9903,0-5,0,0.5556734006631519,Ruminants,Island,Linear
9996,0-5,0,0.5325022434465252,Ruminants,Island,Linear
358,0-5,3,0.32325707565496015,Ruminants,Island,Linear
1642,0-5,3,0.15056639953265133,Ruminants,Island,Linear
1685,0-5,3,0.1656039521232354,Ruminants,Island,Linear
2495,0-5,3,0.1475606935530727,Ruminants,Island,Linear
2765,0-5,3,0.28147324768268583,Ruminants,Island,Linear
3958,0-5,3,0.14162101463646126,Ruminants,Island,Linear
4322,0-5,3,0.21254618380180146,Ruminants,Island,Linear
4764,0-5,3,0.25459614593798496,Ruminants,Island,Linear
4832,0-5,3,0.17646029893667872,Ruminants,Island,Linear
5903,0-5,3,0.33055038227605243,Ruminants,Island,Linear
6097,0-5,3,0.2135741505967686,Ruminants,Island,Linear
6596,0-5,3,0.36420417017671686,Ruminants,Island,Linear
