GenotypeModel,AttributionModel,Source,UR2006_num,Age,m,li,lc,uc,ui
Island,Linear,Poultry,-3,5+,0.3092532170324111,0.22411538504921324,0.2720894086126757,0.3441827779735865,0.39925955061864593
Island,Linear,Poultry,-3,<5,0.1480204852933877,0.04586137018276068,0.09210665799527526,0.1938054980397198,0.2856913279687818
Island,Linear,Poultry,-2,5+,0.3500541050949948,0.2762272425135248,0.3193525081922901,0.3804697744664691,0.4259822116238452
Island,Linear,Poultry,-2,<5,0.2125148395255931,0.09287447838765742,0.15496474774455107,0.2654612403821588,0.3516605736700963
Island,Linear,Poultry,-1,5+,0.3905970450520215,0.32947200058956405,0.36574921145229655,0.41574466249763,0.45198731359872846
Island,Linear,Poultry,-1,<5,0.2949488783293388,0.16961794119974621,0.24039626753118815,0.3494074487839172,0.42304728801108626
Island,Linear,Poultry,0,5+,0.43194807776075506,0.38386593416375703,0.41257815053187075,0.4514707012245474,0.47952547831599956
Island,Linear,Poultry,0,<5,0.39559650203826635,0.27519513670204726,0.3469350657206154,0.44532323127403806,0.5106913661582134
Island,Linear,Poultry,1,5+,0.47361880036190884,0.4346161156440687,0.4577242855008513,0.4898134792537354,0.5119616349174587
Island,Linear,Poultry,1,<5,0.5066521907500705,0.39066335207109865,0.4594988301147311,0.5535680250727529,0.6206303354711618
Island,Linear,Poultry,2,5+,0.5146454762192156,0.4754515525451373,0.4989851479586848,0.5308064564486362,0.5525482230417402
Island,Linear,Poultry,2,<5,0.6141208284217133,0.48921495263510906,0.5625887363856061,0.6659821037624634,0.7377284171435404
Island,Linear,Poultry,3,5+,0.553601622079775,0.5041484589893444,0.5342185247132047,0.5735943718221415,0.6014058631639332
Island,Linear,Poultry,3,<5,0.7050700234700407,0.5623116437121447,0.6510285233380082,0.7642073048153727,0.8359249350057527
Island,Linear,Ruminants,-3,5+,0.6415244936861642,0.5423185950966175,0.6049911471016325,0.6817550102551972,0.7327605187815984
Island,Linear,Ruminants,-3,<5,0.7878820676386139,0.6007693904063853,0.7323365598416125,0.8595504547451545,0.9220160752858041
Island,Linear,Ruminants,-2,5+,0.6117818118957038,0.5355639479056368,0.5815212350667814,0.6428995063747652,0.6867094436424528
Island,Linear,Ruminants,-2,<5,0.7483573456982964,0.6082361911626706,0.6943199016059117,0.8071373060011554,0.8748982971305765
Island,Linear,Ruminants,-1,5+,0.5739426099598383,0.5133301129416812,0.5488950971334268,0.5985519370077813,0.6342630770548512
Island,Linear,Ruminants,-1,<5,0.6722757692114014,0.5453912443722215,0.6189670292728149,0.7263007811343548,0.7971213552835256
Island,Linear,Ruminants,0,5+,0.5328232714919744,0.4869218066319771,0.5136808736789007,0.5516813584002332,0.5800706469138638
Island,Linear,Ruminants,0,<5,0.5728568461582936,0.4613543390023611,0.5236190475661713,0.6209116233130451,0.690212564763781
Island,Linear,Ruminants,1,5+,0.48999366208322725,0.45302616032957216,0.4743614666696625,0.5055545307023789,0.5277205507361136
Island,Linear,Ruminants,1,<5,0.46143490249076663,0.3503903589700031,0.41478425646816963,0.508268107989401,0.5739024980381786
Island,Linear,Ruminants,2,5+,0.4464463134397414,0.4089766583643043,0.43057648801905535,0.46199388631921534,0.4851331089454381
Island,Linear,Ruminants,2,<5,0.3526819678017179,0.23049407499112023,0.30149299459330836,0.4030112218388659,0.47533453682906923
Island,Linear,Ruminants,3,5+,0.4028502206871008,0.35575058032966345,0.3832727782884865,0.421827105604997,0.4517523497843729
Island,Linear,Ruminants,3,<5,0.258938344433032,0.13455851997791443,0.20103323608854315,0.3109713362803425,0.39681669484277304
Island,Linear,Water,-3,5+,0.0248439386965261,1.9767611778608456e-7,2.8814314347645726e-4,0.03288385985747435,0.09762452428825116
Island,Linear,Water,-3,<5,0.03768716210537325,2.6314055249550864e-6,3.308757944541994e-4,0.03579006290576183,0.20368882598134305
Island,Linear,Water,-2,5+,0.014088966078369508,6.179342179276089e-7,2.407141845013363e-4,0.023417209421616746,0.04877184821403545
Island,Linear,Water,-2,<5,0.012478593371825409,8.069516162875838e-6,3.8881539891824667e-4,0.015554260733163652,0.057285857603295506
Island,Linear,Water,-1,5+,0.011032946996151318,1.4226707874745383e-6,1.5878797318146697e-4,0.019998659346908643,0.03835659090016856
Island,Linear,Water,-1,<5,0.005588020982575305,1.7404729728413944e-5,3.7134375831402225e-4,0.006872453306395842,0.023129164317061027
Island,Linear,Water,0,5+,0.009845161149270386,1.5189741779836882e-6,1.0561864006304952e-4,0.018735647237487593,0.034206785519605154
Island,Linear,Water,0,<5,0.0034930674064901283,1.938773734216102e-5,2.5802152373667126e-4,0.003939945216053771,0.015138650215796107
Island,Linear,Water,1,5+,0.009434251636886291,7.245102810314387e-7,8.189401736606017e-5,0.01797373399465515,0.03282780599485407
Island,Linear,Water,1,<5,0.0028459168488644375,7.594782031032314e-6,1.4668599183940243e-4,0.0030149154475740464,0.012813184154030571
Island,Linear,Water,2,5+,0.009631508305064053,1.5647999605657385e-7,6.949154893916821e-5,0.017973514351008142,0.03388798680114757
Island,Linear,Water,2,<5,0.0029469143998013007,1.492718954474615e-6,6.348006650269129e-5,0.00290775773768892,0.014195414072474889
Island,Linear,Water,3,5+,0.010872240197130281,2.7358875295418583e-8,4.894806392627808e-5,0.01975070946562517,0.03803043914981489
Island,Linear,Water,3,<5,0.004016549720792283,2.0701344428472525e-7,2.232156238060813e-5,0.0030977334109652194,0.020518846696267995
