"Year","DHB","Population","Month","Count","PopulationInterpolated"
1997,"Hawke's Bay",NA,"January",36,NA
1998,"Hawke's Bay",NA,"January",46,NA
1999,"Hawke's Bay",NA,"January",43,NA
2000,"Hawke's Bay",NA,"January",37,NA
2001,"Hawke's Bay",NA,"January",48,NA
2002,"Hawke's Bay",NA,"January",66,NA
2003,"Hawke's Bay",NA,"January",82,NA
2004,"Hawke's Bay",NA,"January",73,NA
2005,"Hawke's Bay",NA,"January",58,NA
2006,"Hawke's Bay",152600,"January",82,151947
2007,"Hawke's Bay",153400,"January",73,153059
2008,"Hawke's Bay",154000,"January",41,153694
2009,"Hawke's Bay",155000,"January",43,154391
2010,"Hawke's Bay",156800,"January",48,155891
2011,"Hawke's Bay",157800,"January",26,157446
2012,"Hawke's Bay",158000,"January",41,157926
2013,"Hawke's Bay",158500,"January",31,158187
2014,"Hawke's Bay",159400,"January",24,158913
2015,"Hawke's Bay",160500,"January",27,159937
1997,"Whanganui",NA,"January",8,NA
1998,"Whanganui",NA,"January",8,NA
1999,"Whanganui",NA,"January",9,NA
2000,"Whanganui",NA,"January",12,NA
2001,"Whanganui",NA,"January",10,NA
2002,"Whanganui",NA,"January",24,NA
2003,"Whanganui",NA,"January",29,NA
2004,"Whanganui",NA,"January",37,NA
2005,"Whanganui",NA,"January",11,NA
2006,"Whanganui",64000,"January",27,64322
2007,"Whanganui",63500,"January",28,63726
2008,"Whanganui",63200,"January",7,63323
2009,"Whanganui",63100,"January",15,63131
2010,"Whanganui",63100,"January",17,63090
2011,"Whanganui",63000,"January",6,63110
2012,"Whanganui",62400,"January",12,62696
2013,"Whanganui",62300,"January",10,62307
2014,"Whanganui",62200,"January",13,62240
1997,"MidCentral",NA,"January",30,NA
1998,"MidCentral",NA,"January",34,NA
1999,"MidCentral",NA,"January",27,NA
2000,"MidCentral",NA,"January",29,NA
2001,"MidCentral",NA,"January",28,NA
2002,"MidCentral",NA,"January",44,NA
2003,"MidCentral",NA,"January",54,NA
2004,"MidCentral",NA,"January",35,NA
2005,"MidCentral",NA,"January",48,NA
2006,"MidCentral",164000,"January",45,163948
2007,"MidCentral",164100,"January",45,164038
2008,"MidCentral",164500,"January",17,164230
2009,"MidCentral",165500,"January",29,164955
2010,"MidCentral",166600,"January",28,166038
2011,"MidCentral",167800,"January",18,167219
2012,"MidCentral",168500,"January",23,168234
2013,"MidCentral",168900,"January",28,168643
2014,"MidCentral",170300,"January",22,169482
1997,"Hutt Valley",NA,"January",15,NA
1998,"Hutt Valley",NA,"January",50,NA
1999,"Hutt Valley",NA,"January",45,NA
2000,"Hutt Valley",NA,"January",33,NA
2001,"Hutt Valley",NA,"January",40,NA
2002,"Hutt Valley",NA,"January",64,NA
2003,"Hutt Valley",NA,"January",88,NA
2004,"Hutt Valley",NA,"January",65,NA
2005,"Hutt Valley",NA,"January",36,NA
2006,"Hutt Valley",140900,"January",56,140217
2007,"Hutt Valley",141200,"January",69,141182
2008,"Hutt Valley",141100,"January",30,141105
2009,"Hutt Valley",141700,"January",38,141335
2010,"Hutt Valley",142400,"January",49,142053
2011,"Hutt Valley",142900,"January",19,142738
2012,"Hutt Valley",142500,"January",25,142755
2013,"Hutt Valley",142500,"January",17,142378
2014,"Hutt Valley",143400,"January",23,142894
1997,"Capital and Coast",NA,"January",103,NA
1998,"Capital and Coast",NA,"January",115,NA
1999,"Capital and Coast",NA,"January",87,NA
2000,"Capital and Coast",NA,"January",71,NA
2001,"Capital and Coast",NA,"January",92,NA
2002,"Capital and Coast",NA,"January",135,NA
2003,"Capital and Coast",NA,"January",259,NA
2004,"Capital and Coast",NA,"January",131,NA
2005,"Capital and Coast",NA,"January",105,NA
2006,"Capital and Coast",278000,"January",119,276089
2007,"Capital and Coast",280500,"January",131,279416
2008,"Capital and Coast",282500,"January",43,281436
2009,"Capital and Coast",285300,"January",58,283875
2010,"Capital and Coast",287700,"January",82,286512
2011,"Capital and Coast",290400,"January",40,289065
2012,"Capital and Coast",292200,"January",63,291455
2013,"Capital and Coast",293500,"January",36,292741
2014,"Capital and Coast",296700,"January",49,294857
1997,"Wairarapa",NA,"January",3,NA
1998,"Wairarapa",NA,"January",1,NA
1999,"Wairarapa",NA,"January",4,NA
2000,"Wairarapa",NA,"January",11,NA
2001,"Wairarapa",NA,"January",13,NA
2002,"Wairarapa",NA,"January",5,NA
2003,"Wairarapa",NA,"January",17,NA
2004,"Wairarapa",NA,"January",12,NA
2005,"Wairarapa",NA,"January",11,NA
2006,"Wairarapa",39600,"January",9,39648
2007,"Wairarapa",39800,"January",10,39659
2008,"Wairarapa",40200,"January",3,39994
2009,"Wairarapa",40600,"January",6,40388
2010,"Wairarapa",41200,"January",8,40877
2011,"Wairarapa",41800,"January",7,41528
2012,"Wairarapa",42100,"January",15,41975
2013,"Wairarapa",42400,"January",1,42236
2014,"Wairarapa",42800,"January",10,42592
1997,"Nelson Marlborough",NA,"January",18,NA
1998,"Nelson Marlborough",NA,"January",14,NA
1999,"Nelson Marlborough",NA,"January",26,NA
2000,"Nelson Marlborough",NA,"January",30,NA
2001,"Nelson Marlborough",NA,"January",22,NA
2002,"Nelson Marlborough",NA,"January",30,NA
2003,"Nelson Marlborough",NA,"January",33,NA
2004,"Nelson Marlborough",NA,"January",39,NA
2005,"Nelson Marlborough",NA,"January",52,NA
2006,"Nelson Marlborough",133600,"January",57,133244
2007,"Nelson Marlborough",134600,"January",78,134060
2008,"Nelson Marlborough",135800,"January",15,135192
2009,"Nelson Marlborough",137000,"January",43,136396
2010,"Nelson Marlborough",138500,"January",24,137661
2011,"Nelson Marlborough",140500,"January",25,139562
2012,"Nelson Marlborough",141300,"January",46,141006
2013,"Nelson Marlborough",142100,"January",22,141666
2014,"Nelson Marlborough",143100,"January",28,142555
1997,"West Coast",NA,"January",13,NA
1998,"West Coast",NA,"January",11,NA
1999,"West Coast",NA,"January",7,NA
2000,"West Coast",NA,"January",5,NA
2001,"West Coast",NA,"January",7,NA
2002,"West Coast",NA,"January",5,NA
2003,"West Coast",NA,"January",6,NA
2004,"West Coast",NA,"January",9,NA
2005,"West Coast",NA,"January",11,NA
2006,"West Coast",32100,"January",11,31848
2007,"West Coast",32300,"January",18,32238
2008,"West Coast",32400,"January",8,32330
2009,"West Coast",32700,"January",4,32555
2010,"West Coast",32800,"January",6,32748
2011,"West Coast",33100,"January",3,32951
2012,"West Coast",33100,"January",6,33135
2013,"West Coast",33000,"January",5,33059
2014,"West Coast",32800,"January",9,32905
1997,"Canterbury",NA,"January",226,NA
1998,"Canterbury",NA,"January",182,NA
1999,"Canterbury",NA,"January",148,NA
2000,"Canterbury",NA,"January",241,NA
2001,"Canterbury",NA,"January",237,NA
2002,"Canterbury",NA,"January",243,NA
2003,"Canterbury",NA,"January",158,NA
2004,"Canterbury",NA,"January",189,NA
2005,"Canterbury",NA,"January",201,NA
2006,"Canterbury",483400,"January",242,479261
2007,"Canterbury",490500,"January",380,487096
2008,"Canterbury",496700,"January",65,493720
2009,"Canterbury",503200,"January",57,499548
2010,"Canterbury",509900,"January",95,507849
2011,"Canterbury",500900,"January",83,506420
2012,"Canterbury",497200,"January",159,497572
2013,"Canterbury",503700,"January",90,499528
2014,"Canterbury",514500,"January",128,508829
1997,"South Canterbury",NA,"January",24,NA
1998,"South Canterbury",NA,"January",24,NA
1999,"South Canterbury",NA,"January",19,NA
2000,"South Canterbury",NA,"January",42,NA
2001,"South Canterbury",NA,"January",27,NA
2002,"South Canterbury",NA,"January",29,NA
2003,"South Canterbury",NA,"January",35,NA
2004,"South Canterbury",NA,"January",30,NA
2005,"South Canterbury",NA,"January",30,NA
2006,"South Canterbury",55100,"January",29,54966
2007,"South Canterbury",55300,"January",44,55207
2008,"South Canterbury",55500,"January",13,55392
2009,"South Canterbury",55800,"January",14,55637
2010,"South Canterbury",56200,"January",10,55983
2011,"South Canterbury",56700,"January",9,56454
2012,"South Canterbury",57100,"January",18,56902
2013,"South Canterbury",57600,"January",16,57339
2014,"South Canterbury",58100,"January",25,57853
1997,"Northland",NA,"January",22,NA
1998,"Northland",NA,"January",25,NA
1999,"Northland",NA,"January",16,NA
2000,"Northland",NA,"January",24,NA
2001,"Northland",NA,"January",21,NA
2002,"Northland",NA,"January",36,NA
2003,"Northland",NA,"January",35,NA
2004,"Northland",NA,"January",32,NA
2005,"Northland",NA,"January",42,NA
2006,"Northland",152700,"January",35,151555
2007,"Northland",154600,"January",52,153698
2008,"Northland",156300,"January",25,155454
2009,"Northland",158200,"January",29,157187
2010,"Northland",160600,"January",14,159384
2011,"Northland",162500,"January",20,161675
2012,"Northland",163500,"January",25,163041
2013,"Northland",164700,"January",34,164074
2014,"Northland",166000,"January",33,165301
1997,"Waitemata",NA,"January",148,NA
1998,"Waitemata",NA,"January",109,NA
1999,"Waitemata",NA,"January",75,NA
2000,"Waitemata",NA,"January",91,NA
2001,"Waitemata",NA,"January",117,NA
2002,"Waitemata",NA,"January",195,NA
2003,"Waitemata",NA,"January",190,NA
2004,"Waitemata",NA,"January",168,NA
2005,"Waitemata",NA,"January",158,NA
2006,"Waitemata",504700,"January",196,500120
2007,"Waitemata",511700,"January",235,508485
2008,"Waitemata",517400,"January",100,514580
2009,"Waitemata",523600,"January",100,520394
2010,"Waitemata",530700,"January",100,527019
2011,"Waitemata",538500,"January",56,534632
2012,"Waitemata",545400,"January",127,542030
2013,"Waitemata",552800,"January",90,548899
2014,"Waitemata",562600,"January",73,557336
1997,"Southern",NA,"January",75,NA
1998,"Southern",NA,"January",92,NA
1999,"Southern",NA,"January",93,NA
2000,"Southern",NA,"January",119,NA
2001,"Southern",NA,"January",82,NA
2002,"Southern",NA,"January",119,NA
2003,"Southern",NA,"January",106,NA
2004,"Southern",NA,"January",107,NA
2005,"Southern",NA,"January",143,NA
2006,"Southern",294600,"January",169,294058
2007,"Southern",295700,"January",175,295139
2008,"Southern",297000,"January",37,296309
2009,"Southern",298700,"January",50,297798
2010,"Southern",301000,"January",49,299722
2011,"Southern",303900,"January",50,302564
2012,"Southern",304900,"January",96,304559
2013,"Southern",306400,"January",73,305424
2014,"Southern",309900,"January",77,307956
1997,"Auckland",NA,"January",140,NA
1998,"Auckland",NA,"January",108,NA
1999,"Auckland",NA,"January",57,NA
2000,"Auckland",NA,"January",69,NA
2001,"Auckland",NA,"January",79,NA
2002,"Auckland",NA,"January",132,NA
2003,"Auckland",NA,"January",152,NA
2004,"Auckland",NA,"January",143,NA
2005,"Auckland",NA,"January",113,NA
2006,"Auckland",428300,"January",126,425832
2007,"Auckland",432200,"January",182,430369
2008,"Auckland",436000,"January",80,433982
2009,"Auckland",441000,"January",93,438442
2010,"Auckland",445900,"January",74,443386
2011,"Auckland",451700,"January",41,448812
2012,"Auckland",456000,"January",81,454090
2013,"Auckland",460500,"January",72,457765
2014,"Auckland",471900,"January",62,465239
1997,"Counties Manukau",NA,"January",96,NA
1998,"Counties Manukau",NA,"January",77,NA
1999,"Counties Manukau",NA,"January",56,NA
2000,"Counties Manukau",NA,"January",58,NA
2001,"Counties Manukau",NA,"January",72,NA
2002,"Counties Manukau",NA,"January",105,NA
2003,"Counties Manukau",NA,"January",132,NA
2004,"Counties Manukau",NA,"January",122,NA
2005,"Counties Manukau",NA,"January",103,NA
2006,"Counties Manukau",454800,"January",134,450810
2007,"Counties Manukau",461600,"January",161,458367
2008,"Counties Manukau",467400,"January",73,464584
2009,"Counties Manukau",472900,"January",64,470134
2010,"Counties Manukau",478900,"January",61,475803
2011,"Counties Manukau",485600,"January",33,482202
2012,"Counties Manukau",491500,"January",61,488877
2013,"Counties Manukau",496300,"January",51,493354
2014,"Counties Manukau",509200,"January",62,501984
1997,"Waikato",NA,"January",110,NA
1998,"Waikato",NA,"January",98,NA
1999,"Waikato",NA,"January",84,NA
2000,"Waikato",NA,"January",65,NA
2001,"Waikato",NA,"January",95,NA
2002,"Waikato",NA,"January",145,NA
2003,"Waikato",NA,"January",174,NA
2004,"Waikato",NA,"January",126,NA
2005,"Waikato",NA,"January",114,NA
2006,"Waikato",350200,"January",131,348194
2007,"Waikato",353800,"January",167,352040
2008,"Waikato",357500,"January",59,355577
2009,"Waikato",362000,"January",64,359665
2010,"Waikato",366800,"January",72,364400
2011,"Waikato",371300,"January",50,369135
2012,"Waikato",374800,"January",104,373199
2013,"Waikato",377900,"January",84,376194
2014,"Waikato",383500,"January",54,380387
1997,"Lakes",NA,"January",13,NA
1998,"Lakes",NA,"January",9,NA
1999,"Lakes",NA,"January",15,NA
2000,"Lakes",NA,"January",18,NA
2001,"Lakes",NA,"January",15,NA
2002,"Lakes",NA,"January",47,NA
2003,"Lakes",NA,"January",64,NA
2004,"Lakes",NA,"January",54,NA
2005,"Lakes",NA,"January",19,NA
2006,"Lakes",101500,"January",47,101639
2007,"Lakes",101400,"January",40,101420
2008,"Lakes",101500,"January",18,101434
2009,"Lakes",101800,"January",23,101592
2010,"Lakes",102600,"January",21,102183
2011,"Lakes",103100,"January",11,102899
2012,"Lakes",103300,"January",28,103246
2013,"Lakes",103200,"January",17,103243
2014,"Lakes",103600,"January",18,103308
1997,"Bay of Plenty",NA,"January",26,NA
1998,"Bay of Plenty",NA,"January",36,NA
1999,"Bay of Plenty",NA,"January",30,NA
2000,"Bay of Plenty",NA,"January",21,NA
2001,"Bay of Plenty",NA,"January",39,NA
2002,"Bay of Plenty",NA,"January",68,NA
2003,"Bay of Plenty",NA,"January",102,NA
2004,"Bay of Plenty",NA,"January",59,NA
2005,"Bay of Plenty",NA,"January",53,NA
2006,"Bay of Plenty",200800,"January",61,198977
2007,"Bay of Plenty",203600,"January",97,202312
2008,"Bay of Plenty",205900,"January",35,204757
2009,"Bay of Plenty",208400,"January",35,207121
2010,"Bay of Plenty",211000,"January",50,209697
2011,"Bay of Plenty",213200,"January",26,212254
2012,"Bay of Plenty",213900,"January",35,213649
2013,"Bay of Plenty",215000,"January",23,214313
2014,"Bay of Plenty",217400,"January",35,216012
1997,"Tairawhiti",NA,"January",8,NA
1998,"Tairawhiti",NA,"January",9,NA
1999,"Tairawhiti",NA,"January",6,NA
2000,"Tairawhiti",NA,"January",12,NA
2001,"Tairawhiti",NA,"January",9,NA
2002,"Tairawhiti",NA,"January",12,NA
2003,"Tairawhiti",NA,"January",22,NA
2004,"Tairawhiti",NA,"January",10,NA
2005,"Tairawhiti",NA,"January",15,NA
2006,"Tairawhiti",45900,"January",4,45905
2007,"Tairawhiti",45900,"January",12,45894
2008,"Tairawhiti",46000,"January",3,45931
2009,"Tairawhiti",46300,"January",6,46121
2010,"Tairawhiti",46700,"January",4,46523
2011,"Tairawhiti",46800,"January",4,46762
2012,"Tairawhiti",47000,"January",13,46903
2013,"Tairawhiti",47000,"January",7,47015
2014,"Tairawhiti",47100,"January",9,47025
1997,"Taranaki",NA,"January",21,NA
1998,"Taranaki",NA,"January",27,NA
1999,"Taranaki",NA,"January",17,NA
2000,"Taranaki",NA,"January",28,NA
2001,"Taranaki",NA,"January",20,NA
2002,"Taranaki",NA,"January",40,NA
2003,"Taranaki",NA,"January",49,NA
2004,"Taranaki",NA,"January",54,NA
2005,"Taranaki",NA,"January",28,NA
2006,"Taranaki",107400,"January",49,107396
2007,"Taranaki",107700,"January",48,107501
2008,"Taranaki",108400,"January",23,107998
2009,"Taranaki",109500,"January",20,108909
2010,"Taranaki",110800,"January",28,110143
2011,"Taranaki",112000,"January",22,111432
2012,"Taranaki",112900,"January",19,112478
2013,"Taranaki",113800,"January",28,113318
2014,"Taranaki",115000,"January",20,114388
1997,"Hawke's Bay",NA,"January",36,NA
1998,"Hawke's Bay",NA,"January",46,NA
1999,"Hawke's Bay",NA,"January",43,NA
2000,"Hawke's Bay",NA,"January",37,NA
2001,"Hawke's Bay",NA,"January",48,NA
2002,"Hawke's Bay",NA,"January",66,NA
2003,"Hawke's Bay",NA,"January",82,NA
2004,"Hawke's Bay",NA,"January",73,NA
2005,"Hawke's Bay",NA,"January",58,NA
2006,"Hawke's Bay",152600,"January",82,151947
2007,"Hawke's Bay",153400,"January",73,153059
2008,"Hawke's Bay",154000,"January",41,153694
2009,"Hawke's Bay",155000,"January",43,154391
2010,"Hawke's Bay",156800,"January",48,155891
2011,"Hawke's Bay",157800,"January",26,157446
2012,"Hawke's Bay",158000,"January",41,157926
2013,"Hawke's Bay",158500,"January",31,158187
2014,"Hawke's Bay",159400,"January",24,158913
2015,"Northland",168300,"January",23,166959
2015,"Waitemata",575600,"January",84,568657
2015,"Auckland",490000,"January",63,480181
2015,"Counties Manukau",521700,"January",58,516174
2015,"Waikato",390600,"January",59,386956
2015,"Lakes",104800,"January",15,104086
2015,"Bay of Plenty",221500,"January",30,219213
2015,"Tairawhiti",47400,"January",6,47222
2015,"Taranaki",115900,"January",23,115531
2015,"Hawke's Bay",160500,"January",27,159937
2015,"Whanganui",62600,"January",11,62296
2015,"MidCentral",172100,"January",19,171203
2015,"Hutt Valley",144000,"January",28,143822
2015,"Capital and Coast",301100,"January",44,298818
2015,"Wairarapa",43200,"January",6,43007
2015,"Nelson Marlborough",144800,"January",17,143826
2015,"West Coast",32700,"January",6,32723
2015,"Canterbury",526100,"January",89,520395
2015,"South Canterbury",58600,"January",19,58348
2015,"Southern",314000,"January",50,311978
1997,"Hawke's Bay",NA,"February",22,NA
1998,"Hawke's Bay",NA,"February",24,NA
1999,"Hawke's Bay",NA,"February",34,NA
2000,"Hawke's Bay",NA,"February",35,NA
2001,"Hawke's Bay",NA,"February",27,NA
2002,"Hawke's Bay",NA,"February",51,NA
2003,"Hawke's Bay",NA,"February",41,NA
2004,"Hawke's Bay",NA,"February",35,NA
2005,"Hawke's Bay",NA,"February",48,NA
2006,"Hawke's Bay",152600,"February",40,152072
2007,"Hawke's Bay",153400,"February",40,153122
2008,"Hawke's Bay",154000,"February",27,153742
2009,"Hawke's Bay",155000,"February",15,154474
2010,"Hawke's Bay",156800,"February",27,156050
2011,"Hawke's Bay",157800,"February",19,157524
2012,"Hawke's Bay",158000,"February",19,157937
2013,"Hawke's Bay",158500,"February",21,158231
2014,"Hawke's Bay",159400,"February",21,158989
2015,"Hawke's Bay",160500,"February",15,160030
1997,"Whanganui",NA,"February",6,NA
1998,"Whanganui",NA,"February",4,NA
1999,"Whanganui",NA,"February",4,NA
2000,"Whanganui",NA,"February",10,NA
2001,"Whanganui",NA,"February",9,NA
2002,"Whanganui",NA,"February",18,NA
2003,"Whanganui",NA,"February",17,NA
2004,"Whanganui",NA,"February",21,NA
2005,"Whanganui",NA,"February",9,NA
2006,"Whanganui",64000,"February",17,64265
2007,"Whanganui",63500,"February",23,63685
2008,"Whanganui",63200,"February",11,63299
2009,"Whanganui",63100,"February",7,63124
2010,"Whanganui",63100,"February",13,63090
2011,"Whanganui",63000,"February",3,63104
2012,"Whanganui",62400,"February",16,62639
2013,"Whanganui",62300,"February",7,62305
2014,"Whanganui",62200,"February",4,62229
1997,"MidCentral",NA,"February",26,NA
1998,"MidCentral",NA,"February",12,NA
1999,"MidCentral",NA,"February",15,NA
2000,"MidCentral",NA,"February",25,NA
2001,"MidCentral",NA,"February",14,NA
2002,"MidCentral",NA,"February",32,NA
2003,"MidCentral",NA,"February",27,NA
2004,"MidCentral",NA,"February",28,NA
2005,"MidCentral",NA,"February",30,NA
2006,"MidCentral",164000,"February",30,163959
2007,"MidCentral",164100,"February",26,164046
2008,"MidCentral",164500,"February",14,164263
2009,"MidCentral",165500,"February",17,165043
2010,"MidCentral",166600,"February",32,166128
2011,"MidCentral",167800,"February",13,167322
2012,"MidCentral",168500,"February",22,168291
2013,"MidCentral",168900,"February",13,168670
2014,"MidCentral",170300,"February",25,169607
1997,"Hutt Valley",NA,"February",28,NA
1998,"Hutt Valley",NA,"February",41,NA
1999,"Hutt Valley",NA,"February",40,NA
2000,"Hutt Valley",NA,"February",34,NA
2001,"Hutt Valley",NA,"February",23,NA
2002,"Hutt Valley",NA,"February",52,NA
2003,"Hutt Valley",NA,"February",54,NA
2004,"Hutt Valley",NA,"February",38,NA
2005,"Hutt Valley",NA,"February",35,NA
2006,"Hutt Valley",140900,"February",46,140365
2007,"Hutt Valley",141200,"February",39,141199
2008,"Hutt Valley",141100,"February",33,141092
2009,"Hutt Valley",141700,"February",24,141392
2010,"Hutt Valley",142400,"February",46,142111
2011,"Hutt Valley",142900,"February",5,142783
2012,"Hutt Valley",142500,"February",16,142713
2013,"Hutt Valley",142500,"February",18,142380
2014,"Hutt Valley",143400,"February",13,142976
1997,"Capital and Coast",NA,"February",98,NA
1998,"Capital and Coast",NA,"February",95,NA
1999,"Capital and Coast",NA,"February",62,NA
2000,"Capital and Coast",NA,"February",88,NA
2001,"Capital and Coast",NA,"February",83,NA
2002,"Capital and Coast",NA,"February",93,NA
2003,"Capital and Coast",NA,"February",117,NA
2004,"Capital and Coast",NA,"February",96,NA
2005,"Capital and Coast",NA,"February",89,NA
2006,"Capital and Coast",278000,"February",115,276449
2007,"Capital and Coast",280500,"February",106,279615
2008,"Capital and Coast",282500,"February",43,281597
2009,"Capital and Coast",285300,"February",53,284120
2010,"Capital and Coast",287700,"February",68,286703
2011,"Capital and Coast",290400,"February",31,289297
2012,"Capital and Coast",292200,"February",48,291600
2013,"Capital and Coast",293500,"February",44,292839
2014,"Capital and Coast",296700,"February",28,295137
1997,"Wairarapa",NA,"February",5,NA
1998,"Wairarapa",NA,"February",1,NA
1999,"Wairarapa",NA,"February",3,NA
2000,"Wairarapa",NA,"February",9,NA
2001,"Wairarapa",NA,"February",8,NA
2002,"Wairarapa",NA,"February",7,NA
2003,"Wairarapa",NA,"February",11,NA
2004,"Wairarapa",NA,"February",11,NA
2005,"Wairarapa",NA,"February",7,NA
2006,"Wairarapa",39600,"February",3,39631
2007,"Wairarapa",39800,"February",11,39678
2008,"Wairarapa",40200,"February",2,40029
2009,"Wairarapa",40600,"February",10,40420
2010,"Wairarapa",41200,"February",12,40929
2011,"Wairarapa",41800,"February",5,41579
2012,"Wairarapa",42100,"February",9,41997
2013,"Wairarapa",42400,"February",3,42262
2014,"Wairarapa",42800,"February",6,42626
1997,"Nelson Marlborough",NA,"February",20,NA
1998,"Nelson Marlborough",NA,"February",11,NA
1999,"Nelson Marlborough",NA,"February",16,NA
2000,"Nelson Marlborough",NA,"February",24,NA
2001,"Nelson Marlborough",NA,"February",17,NA
2002,"Nelson Marlborough",NA,"February",26,NA
2003,"Nelson Marlborough",NA,"February",20,NA
2004,"Nelson Marlborough",NA,"February",14,NA
2005,"Nelson Marlborough",NA,"February",41,NA
2006,"Nelson Marlborough",133600,"February",30,133295
2007,"Nelson Marlborough",134600,"February",67,134145
2008,"Nelson Marlborough",135800,"February",14,135293
2009,"Nelson Marlborough",137000,"February",13,136495
2010,"Nelson Marlborough",138500,"February",20,137784
2011,"Nelson Marlborough",140500,"February",20,139738
2012,"Nelson Marlborough",141300,"February",27,141060
2013,"Nelson Marlborough",142100,"February",14,141736
2014,"Nelson Marlborough",143100,"February",18,142637
1997,"West Coast",NA,"February",6,NA
1998,"West Coast",NA,"February",6,NA
1999,"West Coast",NA,"February",4,NA
2000,"West Coast",NA,"February",5,NA
2001,"West Coast",NA,"February",10,NA
2002,"West Coast",NA,"February",5,NA
2003,"West Coast",NA,"February",10,NA
2004,"West Coast",NA,"February",9,NA
2005,"West Coast",NA,"February",9,NA
2006,"West Coast",32100,"February",9,31899
2007,"West Coast",32300,"February",12,32253
2008,"West Coast",32400,"February",3,32336
2009,"West Coast",32700,"February",0,32584
2010,"West Coast",32800,"February",5,32753
2011,"West Coast",33100,"February",0,32980
2012,"West Coast",33100,"February",4,33132
2013,"West Coast",33000,"February",4,33051
2014,"West Coast",32800,"February",5,32887
1997,"Canterbury",NA,"February",123,NA
1998,"Canterbury",NA,"February",145,NA
1999,"Canterbury",NA,"February",195,NA
2000,"Canterbury",NA,"February",120,NA
2001,"Canterbury",NA,"February",180,NA
2002,"Canterbury",NA,"February",229,NA
2003,"Canterbury",NA,"February",222,NA
2004,"Canterbury",NA,"February",83,NA
2005,"Canterbury",NA,"February",196,NA
2006,"Canterbury",483400,"February",199,479988
2007,"Canterbury",490500,"February",272,487680
2008,"Canterbury",496700,"February",83,494236
2009,"Canterbury",503200,"February",42,500070
2010,"Canterbury",509900,"February",89,508493
2011,"Canterbury",500900,"February",54,505504
2012,"Canterbury",497200,"February",128,497308
2013,"Canterbury",503700,"February",67,500122
2014,"Canterbury",514500,"February",66,509744
1997,"South Canterbury",NA,"February",25,NA
1998,"South Canterbury",NA,"February",14,NA
1999,"South Canterbury",NA,"February",19,NA
2000,"South Canterbury",NA,"February",32,NA
2001,"South Canterbury",NA,"February",28,NA
2002,"South Canterbury",NA,"February",20,NA
2003,"South Canterbury",NA,"February",26,NA
2004,"South Canterbury",NA,"February",24,NA
2005,"South Canterbury",NA,"February",55,NA
2006,"South Canterbury",55100,"February",34,54991
2007,"South Canterbury",55300,"February",35,55223
2008,"South Canterbury",55500,"February",16,55408
2009,"South Canterbury",55800,"February",7,55663
2010,"South Canterbury",56200,"February",12,56017
2011,"South Canterbury",56700,"February",8,56497
2012,"South Canterbury",57100,"February",20,56933
2013,"South Canterbury",57600,"February",18,57382
2014,"South Canterbury",58100,"February",9,57894
1997,"Northland",NA,"February",12,NA
1998,"Northland",NA,"February",17,NA
1999,"Northland",NA,"February",10,NA
2000,"Northland",NA,"February",14,NA
2001,"Northland",NA,"February",22,NA
2002,"Northland",NA,"February",23,NA
2003,"Northland",NA,"February",19,NA
2004,"Northland",NA,"February",22,NA
2005,"Northland",NA,"February",22,NA
2006,"Northland",152700,"February",36,151758
2007,"Northland",154600,"February",28,153854
2008,"Northland",156300,"February",23,155594
2009,"Northland",158200,"February",14,157345
2010,"Northland",160600,"February",12,159590
2011,"Northland",162500,"February",8,161832
2012,"Northland",163500,"February",24,163116
2013,"Northland",164700,"February",12,164178
2014,"Northland",166000,"February",12,165406
1997,"Waitemata",NA,"February",86,NA
1998,"Waitemata",NA,"February",88,NA
1999,"Waitemata",NA,"February",62,NA
2000,"Waitemata",NA,"February",105,NA
2001,"Waitemata",NA,"February",65,NA
2002,"Waitemata",NA,"February",128,NA
2003,"Waitemata",NA,"February",141,NA
2004,"Waitemata",NA,"February",137,NA
2005,"Waitemata",NA,"February",157,NA
2006,"Waitemata",504700,"February",204,500948
2007,"Waitemata",511700,"February",172,509054
2008,"Waitemata",517400,"February",72,515047
2009,"Waitemata",523600,"February",77,520914
2010,"Waitemata",530700,"February",77,527612
2011,"Waitemata",538500,"February",48,535291
2012,"Waitemata",545400,"February",81,542595
2013,"Waitemata",552800,"February",54,549514
2014,"Waitemata",562600,"February",57,558161
1997,"Southern",NA,"February",68,NA
1998,"Southern",NA,"February",83,NA
1999,"Southern",NA,"February",88,NA
2000,"Southern",NA,"February",124,NA
2001,"Southern",NA,"February",114,NA
2002,"Southern",NA,"February",114,NA
2003,"Southern",NA,"February",103,NA
2004,"Southern",NA,"February",88,NA
2005,"Southern",NA,"February",161,NA
2006,"Southern",294600,"February",138,294149
2007,"Southern",295700,"February",156,295230
2008,"Southern",297000,"February",63,296418
2009,"Southern",298700,"February",37,297942
2010,"Southern",301000,"February",51,299913
2011,"Southern",303900,"February",60,302820
2012,"Southern",304900,"February",56,304623
2013,"Southern",306400,"February",60,305550
2014,"Southern",309900,"February",63,308260
1997,"Auckland",NA,"February",98,NA
1998,"Auckland",NA,"February",109,NA
1999,"Auckland",NA,"February",53,NA
2000,"Auckland",NA,"February",79,NA
2001,"Auckland",NA,"February",56,NA
2002,"Auckland",NA,"February",104,NA
2003,"Auckland",NA,"February",120,NA
2004,"Auckland",NA,"February",127,NA
2005,"Auckland",NA,"February",122,NA
2006,"Auckland",428300,"February",166,426278
2007,"Auckland",432200,"February",135,430686
