GenotypeModel,AttributionModel,Source,UR2006_num,Intervention,m,li,lc,uc,ui
Island,Linear,Other,-3,2005-2007,0.006785686713118663,1.7954891072240928e-5,2.6708125333151225e-4,0.0057687310140191635,0.03182722634909784
Island,Linear,Other,-2,2008-2014,0.02553682394386433,0.004913991132457569,0.013854146645235006,0.03460852017959301,0.054740179776481795
Island,Linear,Other,-2,2005-2007,0.00580249593620155,5.784011398640265e-5,5.626663231638838e-4,0.006603480335528316,0.024794641658003876
Island,Linear,Other,-1,2008-2014,0.02618271853945424,0.006413602570634094,0.016027449695015614,0.03462730476869512,0.049802367081022265
Island,Linear,Other,-1,2005-2007,0.005702969044588878,1.7121748606336063e-4,0.0010978576483552144,0.00743338779948421,0.02065886950769889
Island,Linear,Other,0,2008-2014,0.027279903926470082,0.007584198042982198,0.01840134599119788,0.0357729955223446,0.04755290871510555
Island,Linear,Other,0,2005-2007,0.0062135017017714185,4.293211558854108e-4,0.001891285957013923,0.008445115107933145,0.01875375499074819
Island,Linear,Other,1,2008-2014,0.028805611111852803,0.007234365506286132,0.020396160173034788,0.0374101364463035,0.04735782720339903
Island,Linear,Other,1,2005-2007,0.007408597122937381,7.396139442274169e-4,0.003161803350921388,0.010104298722749611,0.018724468482345432
Island,Linear,Other,2,2008-2014,0.03077422364520532,0.0058983910869702715,0.02197516915636282,0.04020816405249878,0.050555837371305076
Island,Linear,Other,2,2005-2007,0.009730065795524172,7.381609393332551e-4,0.00481203392685528,0.013413893433628536,0.022210012531185687
Island,Linear,Other,3,2008-2014,0.03323412029176774,0.0045374064036841355,0.02220528641694845,0.044318040806702735,0.05848490689551759
Island,Linear,Other,3,2005-2007,0.014292027821907279,4.810435158182177e-4,0.00599793572293068,0.02007506930596657,0.03510964200295733
Island,Linear,Poultry,-3,2008-2014,0.2784657921293762,0.20635968664377097,0.24671618135358217,0.30819826325427085,0.3572630101998016
Island,Linear,Poultry,-3,2005-2007,0.3343333977127575,0.19139782019323012,0.26718458403805756,0.39522226450213394,0.500137895187678
Island,Linear,Poultry,-2,2008-2014,0.324682899341177,0.2614101532117957,0.297273647267152,0.35093230208492393,0.39235583110990063
Island,Linear,Poultry,-2,2005-2007,0.42978530813766036,0.2993621349316818,0.3717476620137466,0.48498979002262155,0.5684621627823662
Island,Linear,Poultry,-1,2008-2014,0.3723497081448973,0.31868677791762645,0.34986041207431823,0.3941186395336715,0.4288013631806216
Island,Linear,Poultry,-1,2005-2007,0.5298447896628828,0.4240739380738407,0.4847067665367303,0.5743936762088139,0.637340982391624
Island,Linear,Poultry,0,2008-2014,0.4218119601777154,0.3785962886062786,0.40397351394743186,0.43947790564537315,0.4660509946133703
Island,Linear,Poultry,0,2005-2007,0.6280993868207799,0.549640101519882,0.5965786964131423,0.6605030857975233,0.7051904251130626
Island,Linear,Poultry,1,2008-2014,0.47220264436033815,0.4361059618953826,0.4573543856416332,0.4872313629203603,0.5084394447249619
Island,Linear,Poultry,1,2005-2007,0.7159568790294436,0.6566453439538269,0.6923319512788967,0.740555602661959,0.7733731924206866
Island,Linear,Poultry,2,2008-2014,0.5221643050986855,0.4847663432684802,0.506652933757199,0.5377881314889368,0.5593732175868462
Island,Linear,Poultry,2,2005-2007,0.7873853049457789,0.7333744393182282,0.7658975797971463,0.8089471790392662,0.8403691713670531
Island,Linear,Poultry,3,2008-2014,0.5700249745878471,0.5226092482891286,0.5510751442461923,0.5893273849847565,0.6160520164126898
Island,Linear,Poultry,3,2005-2007,0.8395461223802744,0.7828859170541306,0.8183611018814008,0.8622918969937717,0.8914380515299078
Island,Linear,Ruminants,-3,2008-2014,0.6732378160033516,0.5859085980011217,0.6419870333933525,0.7081926125878676,0.7511299883487376
Island,Linear,Ruminants,-3,2005-2007,0.6467643711160708,0.47617099988302614,0.5836097967597992,0.7169376279364332,0.7931217283392057
Island,Linear,Ruminants,-2,2008-2014,0.6375184773473398,0.5701254192190318,0.6112260675309001,0.6648755342534494,0.7021412727511191
Island,Linear,Ruminants,-2,2005-2007,0.5621009503676884,0.42309832942556197,0.5066104430941483,0.6203283089514304,0.6933819499140831
Island,Linear,Ruminants,-1,2008-2014,0.5925896969886253,0.537898844088047,0.5711955883925479,0.6144541751223744,0.6465205341612472
Island,Linear,Ruminants,-1,2005-2007,0.46358335000773027,0.35638015244336857,0.4190580963866886,0.5089565211593285,0.5694297605925255
Island,Linear,Ruminants,0,2008-2014,0.543291875604537,0.5004841555289506,0.5262386366470325,0.5602236134038949,0.5859183503403157
Island,Linear,Ruminants,0,2005-2007,0.3651283297929809,0.2890264836603946,0.3326045480967775,0.39651658480656105,0.44321328344659994
Island,Linear,Ruminants,1,2008-2014,0.491763832709512,0.4565026710942249,0.47734241090233365,0.5060252620831786,0.5271677334669931
Island,Linear,Ruminants,1,2005-2007,0.27610063853617184,0.21916550534608153,0.25188377253695515,0.29956559824567214,0.3350188613771726
Island,Linear,Ruminants,2,2008-2014,0.4395890021265662,0.403053927964453,0.42460978583933134,0.45467115674289277,0.4760511029393284
Island,Linear,Ruminants,2,2005-2007,0.20214527838180557,0.1501560654926116,0.18038217290659037,0.22372273134670256,0.25578169636210024
Island,Linear,Ruminants,3,2008-2014,0.3881023795700055,0.3436549190901699,0.36964667898541664,0.40639023009881015,0.43343234486113325
Island,Linear,Ruminants,3,2005-2007,0.14450966596873416,0.09395977104319386,0.12243552144833846,0.16497902308697082,0.1998754579074551
Island,Linear,Water,-3,2008-2014,0.02293689864958305,5.277305296515294e-6,9.142806882811432e-4,0.030097276726109245,0.08960819363484383
Island,Linear,Water,-3,2005-2007,0.012116544458053068,2.4236620321982747e-9,2.9201565478828837e-6,0.003933482660833522,0.0636735942218283
Island,Linear,Water,-2,2008-2014,0.012261799367618858,1.214574424035883e-5,8.394146505220352e-4,0.019611198920062932,0.04050269075177919
Island,Linear,Water,-2,2005-2007,0.0023112455584497673,1.6024586903669772e-8,5.085341020634708e-6,0.0013984386570843937,0.01179078579881434
Island,Linear,Water,-1,2008-2014,0.00887787632702312,2.1854151842962396e-5,6.226291418624445e-4,0.01438725708036814,0.030593325097059882
Island,Linear,Water,-1,2005-2007,8.688912847980516e-4,7.853470578688753e-8,6.508730647627077e-6,5.597313957346489e-4,0.004448999732027458
Island,Linear,Water,0,2008-2014,0.007616260291277636,2.4792871201522364e-5,4.301244139215374e-4,0.012982703318993063,0.026915688516484872
Island,Linear,Water,0,2005-2007,5.587816844677452e-4,1.3139074272103347e-7,5.261730777196005e-6,3.4132818778022226e-4,0.002910782018280921
Island,Linear,Water,1,2008-2014,0.007227911818297026,1.2659158331725787e-5,3.040652729260055e-4,0.012502655295291636,0.02610806379789017
Island,Linear,Water,1,2005-2007,5.338853114471953e-4,4.717373720716604e-8,3.574851798690677e-6,3.390276014288115e-4,0.0027147965638524285
Island,Linear,Water,2,2008-2014,0.007472469129542947,3.3513650855070412e-06,2.082154086666458e-4,0.01293494658631452,0.02734112224053089
Island,Linear,Water,2,2005-2007,7.393508768913907e-4,5.124366946845027e-9,1.826544283639878e-6,4.894737923811127e-4,0.003945592721031993
Island,Linear,Water,3,2008-2014,0.008638525550379727,7.639257684311816e-7,1.2152965567200963e-4,0.014574677133437118,0.032344363544499946
Island,Linear,Water,3,2005-2007,0.0016521838290841776,3.9003895277971884e-10,6.377825085718038e-7,8.950122246880395e-4,0.009727465245345936
