"ID" "Population" "Meshblock06" "CAU" "WaterZone" "Zone7"
1036 174 1866900 2 1 1
1037 156 1867006 2 1 1
1038 33 1856106 4 2 1
1039 72 1861500 8 2 1
1040 18 1862900 5 1 1
1041 123 1864300 5 1 1
1042 63 1861800 8 2 1
1043 75 1862307 2 1 1
1044 96 1861700 8 2 1
1045 18 2226900 58 2 3
1046 42 1871004 1 1 1
1047 213 1861200 8 2 1
1048 138 1855301 9 2 1
1049 150 1862000 2 1 1
1050 117 1858000 10 1 1
1051 87 1859902 6 2 1
1052 72 1861400 8 2 1
1053 150 1863700 5 1 1
1054 114 1861600 8 2 1
1055 72 1862100 2 1 1
1056 42 1854100 4 2 1
1057 117 1864200 5 1 1
1058 39 1775700 13 2 3
1059 51 1853600 4 2 3
1060 39 2221701 7 2 3
1061 48 2222900 7 2 2
1062 60 1852800 62 2 1
1063 6 2222800 7 2 2
1064 69 1785501 11 2 1
1065 81 1785600 11 2 1
1066 6 2218000 15 5 3
1067 75 1853203 68 23 3
1068 63 2222101 15 5 3
1069 114 1779900 12 3 1
1070 36 2217600 15 5 3
1071 69 2219800 15 5 3
1072 129 1783100 14 4 1
1073 66 1780100 12 3 1
1074 36 2217800 15 5 3
1075 105 2218401 15 5 3
1076 102 1814900 21 2 3
1077 60 1797800 18 2 3
1078 27 1852000 62 2 3
1079 144 1805300 17 6 5
1080 24 1799600 18 21 3
1081 123 1804902 17 6 5
1082 117 1796500 19 2 5
1083 135 1798000 18 8 3
1084 105 1784900 11 2 1
1085 69 1804901 17 6 5
1086 156 1804802 17 6 5
1087 27 1797700 18 2 3
1088 63 2220202 7 2 3
1089 57 1794100 22 6 5
1090 42 2220300 7 2 3
1091 24 1784800 11 2 1
1092 96 1815100 21 2 3
1093 39 1852100 62 2 5
1094 90 1805000 17 6 5
1095 3 1527302 51 2 2
1096 21 1539800 51 2 2
1097 69 1807500 25 6 6
1098 114 1802200 24 6 6
1099 93 1799800 24 6 5
1100 105 1813300 23 6 3
1101 69 1801100 24 6 5
1102 69 1851900 26 6 3
1103 45 1800800 24 6 5
1104 78 1807300 25 6 6
1105 78 1802900 24 6 5
1106 171 1811000 31 6 6
1107 75 1807000 25 6 6
1108 87 1851400 26 6 3
1109 219 1808000 25 6 6
1110 51 1806800 25 6 6
1111 39 1820100 29 6 5
1112 99 1819308 27 6 5
1113 111 1820500 29 6 5
1114 30 1819305 27 6 5
1115 72 1795900 19 24 5
1116 63 1830100 32 6 6
1117 57 1825400 34 6 6
1118 87 1849900 26 6 3
1119 3 1829300 32 6 6
1120 159 1850000 26 6 3
1121 135 1822300 34 6 6
1122 24 1543200 46 2 2
1123 33 1808800 25 6 6
1124 99 1818500 29 6 5
1125 93 1817700 29 6 5
1126 168 1849000 26 6 3
1127 69 1825000 34 6 6
1128 78 1810601 31 6 6
1129 129 1848600 26 6 3
1130 165 1811200 31 6 6
1131 54 1825500 34 6 6
1132 129 1817900 29 6 5
1133 0 1805700 25 6 6
1134 114 1826400 34 6 6
1135 93 1825100 34 6 6
1136 51 1830900 32 6 6
1137 156 1835500 37 6 6
1138 159 1824500 34 6 6
1139 21 1831000 32 6 6
1140 51 1836300 37 6 6
1141 63 1835300 37 6 6
1142 51 1815700 38 6 5
1143 0 1791900 30 9 4
1144 144 1831400 32 6 6
1145 249 1847600 35 6 3
1146 48 1845200 35 6 3
1147 105 1830200 32 6 7
1148 111 1821303 38 6 7
1149 48 1821600 38 6 7
1150 69 1541900 36 10 3
1151 120 1845700 35 6 3
1152 90 1815300 38 6 5
1153 213 1835000 37 6 7
1154 117 1842700 39 6 7
1155 99 1823900 34 6 7
1156 45 1539100 51 2 2
1157 129 1840200 39 6 7
1158 117 1840100 39 6 7
1159 240 1837300 40 6 7
1160 45 1540500 36 10 3
1161 162 1838700 40 6 7
1162 141 1841500 39 6 7
1163 0 1839905 42 11 3
1164 0 1839903 42 11 3
1165 114 1841300 39 6 7
1166 186 1837901 40 6 7
1167 156 1839510 42 11 7
1168 138 1838201 40 6 7
1169 51 1839809 42 11 7
1170 0 1840700 39 6 7
1171 60 1839830 42 11 7
1172 51 1839516 42 11 7
1173 69 1839813 42 11 7
1174 171 1763600 52 13 4
1175 117 1766600 49 13 4
1176 78 1764900 47 13 4
1177 93 1528500 50 14 2
1178 138 1764500 52 13 4
1179 171 1529200 50 14 2
1180 45 1764600 52 13 4
1181 9 1765600 49 13 4
1182 0 1766000 49 13 4
1183 63 1538700 51 14 2
1184 45 1533000 50 14 2
1185 102 1771800 47 13 4
1186 81 1768400 47 13 4
1187 126 1771500 52 13 4
1188 180 1768700 47 13 4
1189 51 1532400 50 14 2
1190 174 1758700 48 12 3
1191 117 1771700 47 13 4
1192 138 1530000 53 14 2
1193 21 1771602 52 13 4
1194 45 1774100 57 2 3
1195 39 1535400 51 2 2
1196 30 1534800 51 17 2
1200 36 1778200 13 2 3
1201 54 1534300 51 17 2
1202 3 1882002 4 2 1
1203 33 1882505 4 2 1
1204 3 2224904 73 2 2
1205 51 1859300 4 2 1
1206 6 1882506 4 2 1
1207 18 1882507 4 2 1
1208 15 1776700 13 2 4
1209 33 2224702 58 2 2
1210 42 2225600 60 18 3
1211 6 2228302 58 2 2
1212 258 1858800 10 1 1
1213 105 1858902 10 1 1
1214 36 1857200 4 2 1
1215 24 2225001 16 2 2
1216 198 1871200 1 1 1
1217 69 1870400 67 1 1
1218 93 1873400 1 1 1
1219 171 1865100 2 1 1
1220 9 2227800 58 2 2
1221 135 1864400 5 1 1
1222 90 1863800 5 1 1
1223 78 1870500 67 1 1
1224 15 1867007 2 1 1
1225 81 1862308 2 1 1
1226 36 1863000 2 1 1
1227 120 1868500 67 1 1
1228 141 1870600 1 1 1
1229 120 1862200 2 1 1
1230 177 1864600 5 1 1
1231 63 1873300 1 1 1
1232 96 1873700 1 1 1
1233 99 1862303 2 1 1
1234 135 1864800 5 1 1
1235 75 1867900 67 1 1
1236 126 1855200 4 1 1
1237 99 1855400 9 2 1
1238 39 2226100 58 2 3
1239 231 1858300 4 2 1
1240 30 2224500 16 19 2
1241 33 1857500 4 2 1
1242 18 2226700 58 2 3
1243 6 1854902 4 2 1
1244 63 2227100 58 2 3
1245 48 1855500 9 2 1
1246 39 1785700 11 2 1
1247 63 2227700 58 2 3
1248 69 1853800 4 2 1
1249 6 2221702 7 2 3
1250 27 1854800 4 2 1
1251 9 1853000 4 2 1
1252 18 2223800 16 2 2
1253 57 2223000 7 2 2
1254 33 2224200 16 20 2
1255 81 1854601 4 2 1
1256 30 1527802 51 2 2
1257 0 1785200 11 3 1
1258 129 1783002 14 4 1
1259 45 1852600 62 2 1
1260 57 2221000 7 2 2
1261 84 2221500 7 2 3
1262 93 1780000 12 3 1
1263 141 1783001 14 4 1
1264 3 2220900 7 2 3
1265 123 1782501 14 4 1
1266 48 1780400 12 3 1
1267 54 2218300 15 5 3
1268 18 2220800 7 2 2
1269 30 1540300 51 2 2
1270 18 2218200 15 5 3
1271 96 2218402 15 5 3
1272 63 2221102 7 5 3
1273 18 1798300 18 2 3
1274 99 1780500 12 3 1
1275 33 1775200 13 2 3
1276 24 1776100 13 2 3
1277 93 1813803 21 28 3
1278 51 1799402 18 2 3
1279 288 1805601 22 6 5
1280 99 1796400 19 24 5
1281 30 1797000 43 2 5
1282 132 1796300 19 24 5
1283 102 1805100 17 6 5
1284 72 1814100 21 21 3
1285 0 1814800 21 7 3
1286 186 1813902 21 21 3
1287 141 1813400 23 6 3
1288 132 1804100 17 6 5
1289 201 1804200 17 6 5
1290 36 1802500 24 6 5
1291 105 1800502 22 6 5
1292 75 1803000 24 6 5
1293 147 1815200 21 2 3
1294 54 1813600 23 6 6
1295 87 1802400 24 6 5
1296 108 1800100 24 6 5
1297 144 1819100 29 6 5
1298 78 1794200 27 6 5
1299 168 1806600 25 6 6
1300 192 1810700 31 6 6
1301 177 1813100 23 6 3
1302 126 1849800 26 6 3
1303 105 1810602 31 6 6
1304 96 1801700 24 6 6
1305 78 1820400 29 6 5
1306 93 1818700 29 6 5
1307 75 1819900 29 6 6
1308 72 1850700 26 6 3
1309 141 1850600 26 6 3
1310 78 1818800 29 6 5
1311 159 1817002 27 6 5
1312 75 1819400 29 6 5
1313 114 1801500 24 6 6
1314 138 1829000 32 6 6
1315 87 1809900 31 6 6
1316 135 1812500 31 6 3
1317 9 1829500 32 6 6
1318 84 1848200 26 6 3
1319 105 1848900 26 6 3
1320 78 1829900 32 6 6
1321 99 1824700 34 6 6
1322 57 1828000 32 6 6
1323 39 1816700 27 6 5
1324 0 1827900 32 6 6
1325 150 1811400 31 6 6
1326 114 1824600 34 6 6
1327 120 1825900 34 6 6
1328 6 1831100 32 6 6
1329 51 1826900 32 6 6
1330 60 1786100 30 2 4
1331 135 1847700 26 6 3
1332 78 1822102 34 6 7
1333 102 1826800 32 6 6
1334 36 1821900 34 6 7
1335 36 1827000 32 6 6
1336 72 1817300 29 6 7
1337 108 1832600 41 6 7
1338 6 1832800 41 6 7
1339 72 1821500 38 6 7
1340 0 1821700 38 6 7
1341 90 1846100 35 6 3
1342 243 1799300 18 2 3
1343 120 1842500 39 6 7
1344 72 1847100 35 6 3
1345 33 1795600 33 2 5
1346 105 1832300 41 6 7
1347 78 1843901 39 6 7
1348 24 1845601 35 6 3
1349 102 1845800 35 6 3
1350 204 1834400 41 6 7
1351 135 1831800 41 6 7
1352 132 1823200 34 6 7
1353 84 1834900 37 6 6
1354 33 1843902 39 6 7
1355 63 1843800 39 6 7
1356 33 1845603 35 6 3
1357 3 1841600 39 11 7
1358 36 1838900 40 6 7
1359 57 1791700 30 2 4
1360 228 1793201 42 11 7
1361 204 1840400 39 6 7
1362 162 1841800 39 6 7
1363 135 1841402 39 6 7
1364 0 1837404 40 6 7
1365 171 1841900 39 6 7
1366 207 1540700 36 10 3
1368 36 1837603 40 6 7
1369 153 1836800 40 6 7
1370 69 1839820 42 11 7
1371 111 1839511 42 11 7
1372 66 1839831 42 11 7
1373 177 1838202 40 6 7
1374 72 1839819 42 11 7
1375 111 1838301 40 6 7
1376 18 1841202 39 11 7
1377 105 1837700 40 6 7
1378 168 1795200 43 2 4
1379 42 1799200 18 2 3
1380 120 1795000 43 2 4
1381 66 1794301 33 6 7
1382 15 1759200 45 22 3
1383 84 1791501 30 2 4
1384 105 1759000 18 2 3
1385 21 1792202 40 11 7
1386 36 1794900 43 2 4
1387 27 1792302 40 2 7
1388 90 1795400 43 2 7
1389 48 1791000 30 2 4
1390 66 1787400 30 2 4
1391 126 1792500 64 11 7
1392 57 1539400 51 2 2
1393 36 1792602 42 11 7
1394 66 1792900 64 2 3
1395 180 1764400 52 13 4
1396 90 1529400 50 14 2
1397 48 1766801 49 2 4
1398 30 1760300 48 2 3
1399 84 1763800 52 13 4
1400 3 1765800 49 13 4
1401 84 1533800 50 14 2
1402 75 1766100 49 13 4
1403 105 1763700 52 13 4
1404 147 1768800 47 13 4
1405 99 1533500 50 14 2
1406 78 1533300 50 14 2
1407 102 1767702 49 13 4
1408 177 1769000 47 13 4
1409 165 1772400 47 13 4
1410 78 1533200 50 14 2
1411 96 1532600 50 14 2
1412 144 1530100 53 14 2
1413 30 1539501 51 2 2
1414 108 1530800 53 14 2
1415 93 1531800 50 14 2
1416 225 1770200 54 13 4
1417 180 1788600 30 2 4
1418 138 1771303 52 13 4
1419 0 1769503 54 13 4
1420 57 1790400 30 15 4
1421 114 1769502 54 13 4
1422 129 1769501 54 13 4
1423 90 1530700 53 14 2
1424 24 1536500 51 2 2
1425 225 1767300 49 13 4
1426 54 1535300 51 2 2
1427 15 1762500 48 16 4
1428 45 1778900 13 2 3
1429 57 1778700 13 2 4
1430 12 1535200 51 2 2
1431 36 1535100 51 2 2
1432 27 1760800 48 2 4
1447 48 1779000 13 2 4
1448 57 1778500 13 2 4
1449 9 1534402 51 2 2
1450 54 1761900 48 2 4
1451 84 1882200 4 2 1
1452 174 1882300 4 2 1
1453 63 2226000 60 18 3
1454 81 1859401 4 2 1
1455 15 1857300 4 2 1
1456 48 1857000 4 1 1
1457 33 2225800 60 18 3
1458 57 2225400 60 18 2
1459 105 1857100 4 2 1
1460 30 1859100 4 1 1
1461 216 1865300 2 1 1
1462 78 1856200 3 1 1
1463 36 2227400 58 2 3
1464 78 1871600 1 1 1
1465 6 1858401 4 2 1
1466 96 1871500 1 1 1
1467 159 1864700 5 1 1
1468 234 1871300 1 1 1
1469 21 1865000 5 1 1
1470 96 1866200 2 1 1
1471 15 1776400 13 2 4
1472 24 1856000 9 1 1
1473 45 1857800 4 2 1
1474 60 1856104 9 1 1
1475 42 2225100 16 2 2
1476 27 2224701 16 2 2
1477 33 1855900 9 1 1
1478 48 2227200 58 2 3
1479 3 1854500 4 2 3
1480 57 1856105 4 1 1
1481 45 2226200 58 2 2
1482 0 1775600 13 2 3
1483 96 2218700 15 5 3
1484 60 1782503 14 4 1
1485 111 1783400 14 4 1
1486 30 1779402 12 3 1
1487 201 1782600 14 4 1
1488 57 2221900 7 5 3
1489 48 1785100 11 2 1
1490 144 2218600 15 5 3
1491 129 2219400 15 5 3
1492 114 2218900 15 5 3
1493 213 1798701 21 7 3
1494 18 2220400 7 2 3
1495 90 1797100 43 2 5
1496 15 1799000 63 7 3
1497 180 1798702 21 7 3
1498 42 1539700 51 2 2
1499 0 1814700 21 7 3
1500 156 1814600 21 7 3
1501 384 1799500 18 21 3
1502 78 2221300 7 2 3
1503 0 1775900 13 2 3
1504 162 1808900 25 6 6
1505 123 1810800 31 6 6
1506 174 1819301 27 6 5
1507 51 1850100 26 6 3
1508 48 1809700 31 6 6
1509 0 1783600 28 9 4
1510 150 1820000 29 6 6
1511 114 1805800 25 6 6
1512 156 1849700 26 6 3
1513 54 1783700 28 9 4
1514 27 1828300 32 6 6
1515 132 1811600 31 6 6
1516 60 1796800 43 2 4
1517 105 1794700 27 6 5
1518 3 1828200 32 6 6
1519 108 1810300 31 6 6
1520 90 1819600 29 6 5
1521 99 1826600 34 6 6
1522 246 1817102 27 6 5
1523 168 1810200 31 6 6
1524 165 1843500 39 6 7
1525 69 1833700 41 6 7
1526 87 1833600 41 6 7
1527 114 1832000 41 6 7
1528 114 1834500 37 6 7
1529 33 1542600 46 10 3
1530 150 1821100 38 6 7
1531 0 1845100 39 6 7
1532 24 1541400 36 10 3
1533 57 1845400 35 6 3
1534 93 1833000 41 6 7
1535 36 1543000 46 2 2
1536 63 1842000 39 6 7
1537 99 1844400 39 6 7
1538 0 1839701 42 11 7
1539 18 1839702 42 11 7
1540 36 1844500 39 6 7
1541 9 1834200 41 6 7
1542 93 1842300 39 6 7
1543 0 1838001 40 6 7
1544 21 1839403 42 11 7
1545 129 1839513 42 11 7
1546 57 2219900 7 2 3
1547 72 1837604 40 6 7
1548 54 1792700 64 11 3
1549 12 1794302 40 6 7
1550 12 1539900 51 2 2
1551 0 1839823 42 11 7
1552 87 1795500 43 2 5
1553 57 1544000 46 10 3
1554 93 1838401 40 6 7
1555 177 1839517 42 11 7
1556 126 1796600 43 2 4
1557 90 1785800 30 2 4
1558 96 1841100 39 6 7
1559 105 1794400 33 6 7
1560 135 1839802 42 11 7
1561 0 1839822 42 11 7
1562 33 1786500 70 2 4
1563 150 1786800 70 2 4
1564 51 1791200 71 2 4
1565 156 1792400 45 22 7
1566 48 1791100 71 2 4
1567 9 1759300 45 22 7
1568 15 1758200 44 12 3
1569 9 1791503 71 2 4
1570 30 1756300 44 12 3
1571 63 1790800 30 2 4
1572 105 1764300 52 13 4
1573 114 1764100 52 13 4
1574 30 1538300 51 2 2
1575 138 1767101 49 13 4
1576 60 1789102 66 13 4
1577 12 1529500 50 14 2
1578 150 1764000 52 13 4
1579 156 1767102 49 13 4
1580 57 1764200 52 13 4
1581 186 1770000 54 13 4
1582 0 1528200 50 14 2
1583 27 1533400 50 14 2
1584 126 1789500 55 15 4
1585 132 1772300 47 13 4
1586 117 1769900 54 13 4
1587 81 1760500 48 27 4
1588 117 1763300 52 13 4
1589 42 1532700 50 14 2
1590 216 1529700 53 14 2
1591 81 1769700 54 13 4
1592 30 1528100 50 14 2
1593 96 1763400 52 13 4
1594 45 1531900 50 14 2
1595 243 1769800 54 13 4
1596 75 1787900 30 15 4
1597 120 1767800 49 13 4
1598 84 1770102 54 13 4
1599 39 1770101 54 13 4
1600 102 1532800 50 14 2
1601 33 1790100 30 2 4
1615 51 1761100 48 2 4
1616 141 1774500 57 2 3
1617 30 1778800 13 2 3
1618 63 1535600 51 2 2
1619 75 1535000 51 2 2
1620 75 1761000 48 16 4
1621 33 1537100 51 2 3
1622 24 1762901 48 2 4
1623 72 1534900 51 2 2
1624 21 1773800 57 2 3
1625 57 1777900 13 2 3
1626 63 1534600 51 17 2
1627 33 1535700 51 2 2
1628 30 1537000 51 2 3
1629 39 1774000 57 2 3
1630 27 2229001 58 2 3
1631 36 1882403 4 2 1
1632 63 1872300 61 1 1
1633 75 1867400 67 1 1
1634 171 1874000 1 1 1
1635 327 1867300 67 1 1
1636 102 1869000 67 1 1
1637 78 1873800 1 1 1
1638 45 2228200 58 2 2
1639 48 1873600 1 1 1
1640 12 2228700 58 2 2
1641 6 2224905 58 2 2
1642 57 1870900 67 1 1
1643 111 1869200 67 1 1
1644 72 1772700 57 2 3
1645 66 1858402 4 1 1
1646 105 1856300 3 1 1
1647 0 1869500 1 1 1
1648 186 1867004 2 1 1
1649 78 1866400 2 1 1
1650 69 1865700 2 1 1
1651 66 1865800 2 1 1
1652 66 1863300 5 1 1
1653 12 2226400 58 18 3
1654 141 1863500 5 1 1
1655 159 1862600 5 1 1
1656 108 1871003 1 1 1
1657 84 1863200 5 1 1
1658 24 1857900 4 2 1
1659 141 1862800 2 1 1
1660 27 2226300 58 2 2
1661 156 1785401 11 3 1
1662 21 1860002 6 2 1
1663 39 2224000 16 19 2
1664 90 1781602 12 3 1
1665 18 1860001 6 2 1
1666 171 1853201 68 23 3
1667 93 1781200 12 3 1
1668 18 1860003 6 2 1
1669 0 1859800 6 2 1
1670 111 1781100 12 3 1
1671 48 2222202 7 5 3
1672 123 1860600 8 2 1
1673 0 1859700 6 2 1
1674 60 1852700 62 2 1
1675 90 1780600 12 3 1
1676 57 1859901 6 2 1
1677 135 1861300 8 2 1
1678 54 1781700 12 3 1
1679 18 1860700 8 2 1
1680 90 1779401 12 3 1
1681 60 1782700 14 4 1
1682 30 2219200 15 5 3
1683 18 2219000 15 5 3
1684 84 1782901 14 4 1
1685 51 2219600 15 5 3
1686 81 2217100 15 5 3
1687 84 2219500 15 5 3
1688 210 2216500 15 5 3
1689 6 1776200 13 2 3
1690 42 1775300 13 2 3
1691 87 1784600 30 2 4
1692 42 1797400 18 8 3
1693 54 1797200 43 2 5
1694 18 1540100 51 2 2
1695 285 1798505 20 8 5
1696 21 2221400 7 2 2
1697 480 1798503 20 8 5
1698 51 2220100 7 2 3
1699 0 1543400 46 2 2
1700 78 1784300 11 4 1
1701 159 1801000 24 6 5
1702 111 1803700 17 6 5
1703 57 1803802 17 6 5
1704 87 1807100 25 6 6
1705 99 1786300 30 2 4
1706 39 1811100 31 6 6
1707 138 1796000 19 24 5
1708 12 2220201 7 2 3
1709 126 1800400 24 6 5
1710 57 1801800 24 6 6
1711 108 1851000 26 6 3
1712 198 1814000 21 21 3
1713 195 1804500 17 6 5
1714 150 1806300 25 6 6
1715 174 1851602 26 6 3
1716 126 1803500 17 6 5
1717 120 1804600 17 6 5
1718 78 1807200 25 6 6
1719 36 1851601 26 6 3
1720 81 1793900 22 6 5
1721 12 1775101 13 2 3
1722 0 1775102 13 2 3
1723 51 1819307 27 6 5
1724 165 1809300 25 6 6
1725 210 1819306 27 6 5
1726 183 1806100 25 6 6
1727 96 1812100 31 6 3
1728 90 1809400 25 6 6
1729 138 1783900 28 9 1
1730 177 1805900 25 6 6
1731 66 1851300 26 6 3
1732 102 1851200 26 6 3
1733 123 1828800 32 6 6
1734 174 1809800 31 6 6
1735 144 1825200 34 6 6
1736 30 1825600 34 6 6
1737 9 1828500 32 6 6
1738 156 1810000 31 6 6
1739 198 1816900 29 6 5
1740 90 1819700 29 6 5
1741 84 1824900 34 6 6
1742 69 1851100 26 6 3
1743 45 1822101 34 6 7
1744 78 1827600 32 6 6
1745 267 1836700 37 6 6
1746 153 1830700 32 6 7
1747 138 1816301 27 6 5
1748 111 1847300 35 6 3
1749 81 1823000 34 6 7
1750 204 1822200 34 6 7
1751 60 1817800 29 6 7
1752 30 1542400 36 10 3
1753 81 1845900 35 6 3
1754 84 1817500 29 6 7
1755 102 1836600 37 6 6
1756 189 1846500 35 6 7
1757 42 1836000 37 6 6
1758 78 1829100 32 6 6
1759 87 1847900 26 6 3
1760 147 1821800 34 6 7
1761 42 1836100 37 6 6
1762 84 1822600 34 6 6
1763 87 1843100 39 6 7
1764 21 1842902 39 6 7
1765 84 1832400 41 6 7
1766 63 1842600 39 6 7
1767 183 1821200 38 6 7
1768 63 1843700 39 6 7
1769 222 1834800 37 6 7
1770 15 1794603 33 6 5
1771 48 1541700 36 10 3
1772 96 1834600 37 6 7
1773 30 1839811 42 11 3
1774 168 1839503 42 11 7
1775 303 1837502 40 6 7
1776 60 1793300 64 2 3
1777 105 1839826 42 11 7
1778 3 1838303 40 6 7
1779 168 1838101 40 6 7
1780 237 1837501 40 6 7
1781 72 1839827 42 11 7
1782 48 1838104 40 6 7
1783 81 1787100 70 2 4
1784 54 1791502 71 2 4
1785 105 1756203 44 12 3
1786 0 1791301 71 2 4
1787 78 1787200 70 2 4
1788 144 1756500 44 12 3
1789 60 1791400 71 2 4
1790 102 1756800 44 12 3
1791 51 1787000 70 2 4
1792 42 1539000 51 2 2
1793 105 1770900 54 13 4
1794 183 1768200 47 13 4
1795 21 1789400 66 13 4
1796 111 1532500 50 14 2
1797 102 1770700 54 13 4
1798 102 1767900 47 13 4
1799 93 1770600 54 13 4
1800 99 1789700 55 15 4
1801 111 1532100 50 14 2
1802 78 1771000 54 13 4
1803 177 1761802 56 13 4
1804 84 1761704 56 13 4
1805 12 1790700 72 26 4
1806 207 1790600 72 26 4
1807 117 1537500 51 14 2
1808 108 1772900 57 2 3
1809 66 1536600 51 2 2
1819 6 1779300 13 2 3
1820 129 1778000 13 2 3
1821 3 1777300 13 2 4
1822 36 1762000 48 16 4
1825 0 1873100 61 1 1
1826 51 1856500 3 1 1
1827 54 1872601 61 1 1
1828 63 1856600 3 1 1
1829 138 1868300 67 1 1
1830 117 1868200 67 1 1
1831 96 1869300 67 1 1
1832 105 1872602 61 1 1
1833 168 1868400 67 1 1
